Repo Name,URL,LLM used,LLM,LLM,Lang Used,Category,,Unique,Count,,Unique,Count,,Laguage,Count,,Category,Count,,,,
AZURE-ARC-0/genworlds,https://github.com/AZURE-ARC-0/genworlds,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Leaking/langchain,https://github.com/Leaking/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
AlHering/generative-ai-testbench,https://github.com/AlHering/generative-ai-testbench,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
AnasMations/StudySync,https://github.com/AnasMations/StudySync,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
MindsFlow/langchain,https://github.com/MindsFlow/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Stevenic/alphawave-py,https://github.com/Stevenic/alphawave-py,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Taytay/slack-langchain,https://github.com/Taytay/slack-langchain,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
amalshaji/finetune-gpt,https://github.com/amalshaji/finetune-gpt,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
alfredcs/dialogue-guided-x,https://github.com/alfredcs/dialogue-guided-x,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
Edgebrix/langchain,https://github.com/Edgebrix/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
DCoinHub/ragas,https://github.com/DCoinHub/ragas,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
albert-jin/agricultural_textual_classification_ChatGPT,https://github.com/albert-jin/agricultural_textual_classification_ChatGPT,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
ai-cfia/louis-backend,https://github.com/ai-cfia/louis-backend,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
aduchon/langchain,https://github.com/aduchon/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
ademarc/langchain-discord-chatbot,https://github.com/ademarc/langchain-discord-chatbot,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
GengzeZhou/NavGPT,https://github.com/GengzeZhou/NavGPT,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
ZoneSixGames/RoboTalk,https://github.com/ZoneSixGames/RoboTalk,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
abhinand5/tamil-llama,https://github.com/abhinand5/tamil-llama,"gemma,
llama,
microsoft",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
Endpoce/QuickStockInfo,https://github.com/Endpoce/QuickStockInfo,gemini,gemini,others,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
Techspresso/aletheia,https://github.com/Techspresso/aletheia,claude,claude,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
FlamingFury00/Free-AUTO-GPT-with-NO-API,https://github.com/FlamingFury00/Free-AUTO-GPT-with-NO-API,"openai,
palm",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
Yukino2002/Polkadot-Seoul,https://github.com/Yukino2002/Polkadot-Seoul,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
ULL-prompt-engineering/crash-course-for-beginners,https://github.com/ULL-prompt-engineering/crash-course-for-beginners,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
Ubisoft-potato/notamAI,https://github.com/Ubisoft-potato/notamAI,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
JustinGOSSES/LAGDAL,https://github.com/JustinGOSSES/LAGDAL,"amazon,
openai",multiple LLMs,multiple LLMs,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
FillerFree/Free-AUTO-GPT-with-NO-API,https://github.com/FillerFree/Free-AUTO-GPT-with-NO-API,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
whitesmith/ai-residency,https://github.com/whitesmith/ai-residency,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
muratali016/ChatGPT-Prompt-Assistant-and-Website-Chatbot,https://github.com/muratali016/ChatGPT-Prompt-Assistant-and-Website-Chatbot,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
bxxd/langwave,https://github.com/bxxd/langwave,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
aws-samples/generative-ai-workshop-build-a-multifunctional-chatbot-on-sagemaker,https://github.com/aws-samples/generative-ai-workshop-build-a-multifunctional-chatbot-on-sagemaker,"amazon,
claude,
deepseek,
qwen",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
aws-samples/dialogue-idp,https://github.com/aws-samples/dialogue-idp,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
aws-samples/multi-tenant-chatbot-using-rag-with-amazon-bedrock,https://github.com/aws-samples/multi-tenant-chatbot-using-rag-with-amazon-bedrock,"amazon,
claude",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
aws-samples/aws-iot-twinmaker-samples,https://github.com/aws-samples/aws-iot-twinmaker-samples,"amazon,
lamda",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
chinmay29hub/Hackerstellar-BootstrapParadox,https://github.com/chinmay29hub/Hackerstellar-BootstrapParadox,amazon,amazon,others,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
clintonjules/cm1_code_assessment,https://github.com/clintonjules/cm1_code_assessment,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
complaint-triage/triage,https://github.com/complaint-triage/triage,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
cathyxl/MAgIC,https://github.com/cathyxl/MAgIC,"meta,
openai",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
JoyDajunSpaceCraft/ADRDYuelyu,https://github.com/JoyDajunSpaceCraft/ADRDYuelyu,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
ataymano/rl_chain,https://github.com/ataymano/rl_chain,framework:langchain,platform/framework,platform/framework,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
AlmogBaku/wa-llm,https://github.com/AlmogBaku/wa-llm,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
AryPratap/Retrieval-Augmented-Generation-Chatbot-LLM,https://github.com/AryPratap/Retrieval-Augmented-Generation-Chatbot-LLM,framework:langchain,platform/framework,platform/framework,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
Bennett-Wendorf/LLMDB,https://github.com/Bennett-Wendorf/LLMDB,"meta,
openai",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
ChrisLiang33/Pets-name-generator-langchain,https://github.com/ChrisLiang33/Pets-name-generator-langchain,framework:langchain,platform/framework,platform/framework,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
Data-drone/ANZ_LLM_Bootcamp,https://github.com/Data-drone/ANZ_LLM_Bootcamp,"llama,
mistral",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
Debaditya-Som/Grocerybot,https://github.com/Debaditya-Som/Grocerybot,framework:langchain,platform/framework,platform/framework,Python,Software Development,,,,,,,,,,,,,,,,
Dranaxel/LLM-Static-Analysis,https://github.com/Dranaxel/LLM-Static-Analysis,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Evgeny2411/teacherBot,https://github.com/Evgeny2411/teacherBot,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
FISHers6/CodeLearn-Agent,https://github.com/FISHers6/CodeLearn-Agent,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Hansen-chen/AgentVerse,https://github.com/Hansen-chen/AgentVerse,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
JelleZijlstra/langchain-template-poe-fastapi,https://github.com/JelleZijlstra/langchain-template-poe-fastapi,framework:langchain,platform/framework,platform/framework,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
aws-samples/amazon-bedrock-prompting,https://github.com/aws-samples/amazon-bedrock-prompting,amazon,amazon,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
JustinZarb/natural_maps,https://github.com/JustinZarb/natural_maps,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
KannerMan/AI_Dividend,https://github.com/KannerMan/AI_Dividend,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
KularatnaS/langchain-youtube-assistant,https://github.com/KularatnaS/langchain-youtube-assistant,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Revathi2604/Langchain-chat,https://github.com/Revathi2604/Langchain-chat,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
RexJensen/AI-Assistant-Plus,https://github.com/RexJensen/AI-Assistant-Plus,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
SiddharthUchil/ViLT-Vision-and-Language,https://github.com/SiddharthUchil/ViLT-Vision-and-Language,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Twifor/alm_test,https://github.com/Twifor/alm_test,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
databricks/databricks-ml-examples,https://github.com/databricks/databricks-ml-examples,"falcon,
llama,
microsoft,
mistral",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
VowpalWabbit/rl_chain,https://github.com/VowpalWabbit/rl_chain,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
Yajiehan/ML-CustomerServiceSupport-Node.js,https://github.com/Yajiehan/ML-CustomerServiceSupport-Node.js,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
agplusman/Discord-AI-Chatbot,https://github.com/agplusman/Discord-AI-Chatbot,"openai,
replit",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
akiyomov/OpenAI-Telegram-bot,https://github.com/akiyomov/OpenAI-Telegram-bot,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
andylolu2/anthropic-hackathon,https://github.com/andylolu2/anthropic-hackathon,claude,claude,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
KannerMan/AI_Div_3.1_open,https://github.com/KannerMan/AI_Div_3.1_open,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
deejungx/streamlit-demo-lp,https://github.com/deejungx/streamlit-demo-lp,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
jacoblee93/oss-model-extraction-evals,https://github.com/jacoblee93/oss-model-extraction-evals,"claude,
llama,
mistral,
openai",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
dimz119/learn-openai,https://github.com/dimz119/learn-openai,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
os1ma/langchain-practice,https://github.com/os1ma/langchain-practice,framework:langchain,platform/framework,platform/framework,Python,Underdeveloped,,,,,,,,,,,,,,,,
patrickmaub/student-copilot,https://github.com/patrickmaub/student-copilot,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
pauliusrauba/LLMs_interface,https://github.com/pauliusrauba/LLMs_interface,framework:langchain,platform/framework,platform/framework,Python,Learning & Research,,,,,,,,,,,,,,,,
prof-frink-lab/slangchain,https://github.com/prof-frink-lab/slangchain,lamda,lamda,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
sahilshaheen/frida,https://github.com/sahilshaheen/frida,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
sgreenb/pico_assistant,https://github.com/sgreenb/pico_assistant,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
shaman-ai/agent-actors,https://github.com/shaman-ai/agent-actors,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
sprenkamp/OnePieceGPT,https://github.com/sprenkamp/OnePieceGPT,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
sugarforever/LangChain-Tutorials,https://github.com/sugarforever/LangChain-Tutorials,framework:langchain,platform/framework,platform/framework,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
toanpv-0639/langchain-demo,https://github.com/toanpv-0639/langchain-demo,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
optimizeforall/Cbot,https://github.com/optimizeforall/Cbot,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
ttwj/open-carbon-viz,https://github.com/ttwj/open-carbon-viz,"claude,
 openai",multiple LLMs,multiple LLMs,Python,Software Development,,,,,,,,,,,,,,,,
vineetsingh09/AgriChat-DG,https://github.com/vineetsingh09/AgriChat-DG,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
vishwasg217/StudySage,https://github.com/vishwasg217/StudySage,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
vtwoptwo/ai-hackathon,https://github.com/vtwoptwo/ai-hackathon,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
whitesj1030/fullstack-gpt,https://github.com/whitesj1030/fullstack-gpt,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
wjurayj/web-assistant,https://github.com/wjurayj/web-assistant,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
xmile1/xistant,https://github.com/xmile1/xistant,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
ycechungAI/GPT3-wellbeingAssist,https://github.com/ycechungAI/GPT3-wellbeingAssist,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
yeyu2/Drawing2Web,https://github.com/yeyu2/Drawing2Web,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
yeyu2/interviewform,https://github.com/yeyu2/interviewform,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
yiouyou/RePolyA,https://github.com/yiouyou/RePolyA,"llama,
 openai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
vatdut8994/Crystal-Mark-I,https://github.com/vatdut8994/Crystal-Mark-I,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
noman-xg/GenAI-UseCases,https://github.com/noman-xg/GenAI-UseCases,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
nl32/managefy,https://github.com/nl32/managefy,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
nasa-petal/bio-strategy-extractor,https://github.com/nasa-petal/bio-strategy-extractor,platform:huggingface,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
directorBae/news_comment_analyzer,https://github.com/directorBae/news_comment_analyzer,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
drew-wks/ASK,https://github.com/drew-wks/ASK,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
eglisi1/axa_hackathon,https://github.com/eglisi1/axa_hackathon,llama,llama,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
emrgnt-cmplxty/automata-v0,https://github.com/emrgnt-cmplxty/automata-v0,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
filipmihal/llm-crime-stories,https://github.com/filipmihal/llm-crime-stories,llama,llama,others,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
i-am-zach/ai-content-gen,https://github.com/i-am-zach/ai-content-gen,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
idvorkin/nlp,https://github.com/idvorkin/nlp,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
intelligencegear/gpt-learn,https://github.com/intelligencegear/gpt-learn,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
jacoballessio/Jacobot,https://github.com/jacoballessio/Jacobot,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Alee02/langchain-sales-teacher,https://github.com/Alee02/langchain-sales-teacher,framework:langchain,platform/framework,platform/framework,Python,Learning & Research,,,,,,,,,,,,,,,,
jbpayton/robot-writers-room,https://github.com/jbpayton/robot-writers-room,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
jcsk/wc-rag-chat,https://github.com/jcsk/wc-rag-chat,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
jogendrasinghgurjar/Semantic-Kernel-Workshop,https://github.com/jogendrasinghgurjar/Semantic-Kernel-Workshop,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
johannesmichael/CAS-AML-final-public,https://github.com/johannesmichael/CAS-AML-final-public,"falcon,
 llama,
 openai",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
juankysoriano/gpt-producer,https://github.com/juankysoriano/gpt-producer,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
khangeqkai/GoogleResearchAgent,https://github.com/khangeqkai/GoogleResearchAgent,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
krishnaik06/The-Grand-Complete-Data-Science-Materials,https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
kyzooghost/openai-embeddings-tute,https://github.com/kyzooghost/openai-embeddings-tute,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
langchain-ai/langchain-template-poe-fastapi,https://github.com/langchain-ai/langchain-template-poe-fastapi,framework:langchain,platform/framework,platform/framework,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
monarch-initiative/agent-smith-ai,https://github.com/monarch-initiative/agent-smith-ai,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
mrspiggot/FinGPT,https://github.com/mrspiggot/FinGPT,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
mruduljohn/InterPrep,https://github.com/mruduljohn/InterPrep,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
denisa-ms/azure-data-and-ai-examples,https://github.com/denisa-ms/azure-data-and-ai-examples,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
Afrineuron/Langchain_Bot,https://github.com/Afrineuron/Langchain_Bot,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
zphang/llm_feedback,https://github.com/zphang/llm_feedback,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
AbhinandanSingla/Flipify,https://github.com/AbhinandanSingla/Flipify,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
